,Название,Сеть,Адрес,Город,Оборудование в магазине,Статус поддержки,tClients,name_combined,adr_tocheck,geometry.location.lat,geometry.location.lng,formatted_address,locality,administrative_area_level_2,administrative_area_level_1,route,street_number
186,981941,Теле-2,"г. Ростов-на-Дону, ул. Зорге, д. 33",,981941_ESL-ZKong,Нет активной поддержки,Ростовский филиал Т2 МОБАЙЛ ООО,981 941," г. Ростов-на-Дону, ул. Зорге, д. 33",47.2293069,39.627748,"ул. Зорге, 33, Ростов-на-Дону, Ростовская обл., Россия, 344015",Ростов-на-Дону,город Ростов-на-Дону,Ростовская область,улица Зорге,33
187,1001462,Теле-2,"г. Ростов-на-Дону, пр-т Космонавтов, д. 2/2",,1001462_ESL-SES,Нет активной поддержки,Ростовский филиал Т2 МОБАЙЛ ООО,1 001 462," г. Ростов-на-Дону, пр-т Космонавтов, д. 2/2",47.2805294,39.7181722,"пр. Космонавтов, 2/2, Ростов-на-Дону, Ростовская обл., Россия, 344092",Ростов-на-Дону,город Ростов-на-Дону,Ростовская область,проспект Космонавтов,2/2
188,65121,Теле-2,"г. Ростов-на-Дону, ул. Б. Садовая, д. 43",,65121_ESL-ZKong,Нет активной поддержки,Ростовский филиал Т2 МОБАЙЛ ООО,65 121," г. Ростов-на-Дону, ул. Б. Садовая, д. 43",47.2205416,39.7083638,"Большая Садовая ул., 43, Ростов-на-Дону, Ростовская обл., Россия, 344002",Ростов-на-Дону,город Ростов-на-Дону,Ростовская область,Большая Садовая улица,43
189,1047269,Теле-2,"г. Ростов-на-Дону, ул Малиновского, д. 25",,1047269_ESL-SES,На поддержке,Ростовский филиал Т2 МОБАЙЛ ООО,1 047 269," г. Ростов-на-Дону, ул Малиновского, д. 25",47.2306354,39.6101758,"ТК ""Золотой Вавилон, ул. Малиновского, 25, Ростов-на-Дону, Ростовская обл., Россия, 344015",Ростов-на-Дону,город Ростов-на-Дону,Ростовская область,улица Малиновского,25
190,132952,Теле-2,"г. Ростов-на-Дону, пр-т Косомнавтов, д. 19а/28Ж",,132952_ESL-ZKong,На поддержке,Ростовский филиал Т2 МОБАЙЛ ООО,132 952," г. Ростов-на-Дону, пр-т Косомнавтов, д. 19а/28Ж",47.2894714,39.7135422,"пр. Космонавтов, 19А/28Ж, Ростов-на-Дону, Ростовская обл., Россия, 344092",Ростов-на-Дону,город Ростов-на-Дону,Ростовская область,проспект Космонавтов,19А/28Ж
191,59052,Теле-2,"г. Таганрог, Спартаковский пер., д. 3",,59052_ESL-SES,На поддержке,Ростовский филиал Т2 МОБАЙЛ ООО,59 052," г. Таганрог, Спартаковский пер., д. 3",47.2170846,38.9235446,"Спартаковский пер., 3, Таганрог, Ростовская обл., Россия, 347900",Таганрог,город Таганрог,Ростовская область,Спартаковский переулок,3
192,784682,Теле-2,"г. Дмитров, ул. Загорская, д22 ",,784682_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",784 682," г. Дмитров, ул. Загорская, д22 ",56.3427444,37.515669,"ул. Загорская, 22, Дмитров, Московская обл., Россия, 141000",Дмитров,Дмитровский муниципальный округ,Московская область,улица Загорская,22
193,782274,Теле-2,"МО, г. Красногорск. Международная 12 ТЦ Вегас ",,782274_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",782 274," МО, г. Красногорск. Международная 12 ТЦ Вегас ",55.8197935,37.3882241,"Международная ул., 12, Красногорск, Московская обл., Россия, 143407",Красногорск,Городской округ Красногорск,Московская область,Международная улица,12
194,784671,Теле-2,МО_Зеленоград_ТЦ Иридиум_ТЕЛЕ2+Xiaomi -,,784671_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",784 671, МО_Зеленоград_ТЦ Иридиум_ТЕЛЕ2+Xiaomi -,55.982678,37.174811,"площадь Крюковская 1 ТЦ Peoples Park, Москва, Россия, 124575",Москва,Москва,Москва,,
195,137745,Теле-2,"МО, г. Красногорск, 66км МКАД, д.1",,137745_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",137 745," МО, г. Красногорск, 66км МКАД, д.1",55.8155648,37.387452,"МКАД 66 км, 1, Москва, Россия, 121471",Москва,Городской округ Красногорск,Москва,МКАД 66 километр,1
196,821532,Теле-2,МО_Люберцы_Октябрьский просп.366_Орбита,,821532_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",821 532, МО_Люберцы_Октябрьский просп.366_Орбита,55.6631235,37.9105504,"ул. Строителей, 366, Люберцы, Московская обл., Россия, 140006",Люберцы,Городской округ Люберцы,Московская область,улица Строителей,366
197,782279,Теле-2,"МО, г. Мытищи, ул. Мира, стр. 51",,782279_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",782 279," МО, г. Мытищи, ул. Мира, стр. 51",55.9193465,37.7079757,"ул. Мира, 51, Мытищи, Московская обл., Россия, 141021",Мытищи,Городской округ Мытищи,Московская область,улица Мира,51
198,1063869,Теле-2,"Московская область, город Орехово-Зуево, улица Ленина, дом 78, пом. 1,9",,1063869_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",1 063 869," Московская область, город Орехово-Зуево, улица Ленина, дом 78, пом. 1,9",55.8062899,38.99008449999999,"ул. Ленина, 78, Орехово-Зуево, Московская обл., Россия, 142600",Орехово-Зуево,город Орехово-Зуево,Московская область,улица Ленина,78
199,127881,Теле-2,"МО, Рамен.г.о,д.Островцы,ул. Подмосковная д.37, ТРЦ Мой Молл",,127881_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",127 881," МО, Рамен.г.о,д.Островцы,ул. Подмосковная д.37, ТРЦ Мой Молл",55.60004319999999,37.9825583,"Подмосковная ул., Островцы, Московская обл., Россия, 140125",Островцы,Городской округ Люберцы,Московская область,Подмосковная улица,
200,1049428,Теле-2,"МО, г. Серпухов, ул. Ворошилова, д. 214_ТЦ Элефант",,1049428_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 049 428," МО, г. Серпухов, ул. Ворошилова, д. 214_ТЦ Элефант",54.935275,37.450483,"ул. Ворошилова, 214, Серпухов, Московская обл., Россия, 142214",Серпухов,Городской округ Серпухов,Московская область,улица Ворошилова,214
201,782305,Теле-2,"Москва. Новокосинская, 31",,782305_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",782 305," Москва. Новокосинская, 31",55.7384518,37.8622806,"ул. Новокосинская, 31, Москва, Россия, 111673",Москва,Москва,Москва,улица Новокосинская,31
202,932484,Теле-2,"Москва. Сходненская, 56",,932484_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",932 484," Москва. Сходненская, 56",55.8503501,37.4445964,"Сходненская ул., 56, Москва, Россия, 125364",Москва,Москва,Москва,Сходненская улица,56
203,844652,Теле-2,"Москва. Красная пресня, 44",,844652_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",844 652," Москва. Красная пресня, 44",55.7628285,37.565036,"ул. Красная Пресня, 44 строение 1, Москва, Россия, 123022",Москва,Москва,Москва,улица Красная Пресня,44 строение 1
204,848698,Теле-2,"Москва, Веневская, ТЦ Витте Молл -",,848698_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",848 698," Москва, Веневская, ТЦ Витте Молл -",55.547132,37.542976,"ТЦ ""Витте Молл, Веневская ул., 6, Москва, Россия, 117042",Москва,Москва,Москва,Веневская улица,6
205,1000173,Теле-2,Москва. Декабристов 12,,1000173_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",1 000 173, Москва. Декабристов 12,55.8628023,37.60159609999999,"Декабристов ул., 12, Москва, Россия, 127562",Москва,Москва,Москва,Декабристов улица,12
206,1000730,Теле-2,"Москва, ТЦ Форт, Новоясеневский 11",,1000730_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 000 730," Москва, ТЦ Форт, Новоясеневский 11",55.6067589,37.5362144,"Новоясеневский пр., 11, Москва, Россия, 117588",Москва,Москва,Москва,Новоясеневский проспект,11
207,1014809,Теле-2,"Москва, ТЦ Водный, Головинское ш.5",,1014809_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 014 809," Москва, ТЦ Водный, Головинское ш.5",55.8402046,37.4916366,"Головинское ш., 5, Москва, Россия, 125212",Москва,Москва,Москва,Головинское шоссе,5
208,116647,Теле-2,"г. Москва, Зеленоград, корп. 1446, ТЦ Столица",,116647_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",116 647," г. Москва, Зеленоград, корп. 1446, ТЦ Столица",55.9644402,37.1870516,"2309, Зеленоград, Москва, Россия, 124527",Зеленоград,Москва,Москва,,
209,1047794,Теле-2,"г. Москва, ул. Кустанайская, д.6, ТЦ Столица",,1047794_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 047 794," г. Москва, ул. Кустанайская, д.6, ТЦ Столица",55.6196189,37.75219990000001,"Кустанайская ул., 6, Москва, Россия, 115580",Москва,Москва,Москва,Кустанайская улица,6
210,1021701,Теле-2,"г. Москва, Локомотивный пр-д, д. 4, ТЦ Парус",,1021701_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 021 701," г. Москва, Локомотивный пр-д, д. 4, ТЦ Парус",55.8379461,37.5766969,"Локомотивный пр., 4, Москва, Россия, 127238",Москва,Москва,Москва,Локомотивный проезд,4
211,1043638,Теле-2,"г. Москва, р-н Щукино, ул. Щукинская, д. 42 ТРК
  ""Щука"" ",,1043638_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 043 638," г. Москва, р-н Щукино, ул. Щукинская, д. 42 ТРК
  ""Щука"" ",55.80948489999999,37.4646113,"Щукинская ул., 42, Москва, Россия, 123182",Москва,Москва,Москва,Щукинская улица,42
212,775840,Теле-2,"г. Москва Пражская ул. Кировоградская, д.13А ТРЦ Columbus",,775840_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",775 840," г. Москва Пражская ул. Кировоградская, д.13А ТРЦ Columbus",55.612154,37.607059,"Кировоградская ул., 13А, Москва, Россия, 117519",Москва,Москва,Москва,Кировоградская улица,13А
213,1049426,Теле-2,"г. Москва, Нахимовский пр-кт, д. 40",,1049426_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 049 426," г. Москва, Нахимовский пр-кт, д. 40",55.677377,37.5658045,"Нахимовский пр., 40, Москва, Россия, 117218",Москва,Москва,Москва,Нахимовский проспект,40
214,1055072,Теле-2,"г. Москва, ул. 2-я Владимирская, 36",,1055072_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 055 072," г. Москва, ул. 2-я Владимирская, 36",55.7510273,37.7835252,"2-я Владимирская ул., 36/21, Москва, Россия, 111401",Москва,Москва,Москва,2-я Владимирская улица,36/21
215,1004153,Теле-2,"г. Москва, ш. Щелковское, 75",,1004153_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 004 153," г. Москва, ш. Щелковское, 75",55.81136369999999,37.8012398,"Щёлковское ш., 75, Москва, Россия, 107207",Москва,Москва,Москва,Щёлковское шоссе,75
216,1049425,Теле-2,"г. Москва Бабушкинская пр-д Дежнёва, 23а Эгомолл",,1049425_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 049 425," г. Москва Бабушкинская пр-д Дежнёва, 23а Эгомолл",55.8701081,37.6384078,"Дежнева пр., 23 А кор.2, Москва, Россия, 127081",Москва,Москва,Москва,Дежнева проезд,23 А кор.2
217,1056785,Теле-2,"г. Москва, Дмитровское шоссе, д.89, ТЦ XL Дмитровка",,1056785_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 056 785," г. Москва, Дмитровское шоссе, д.89, ТЦ XL Дмитровка",55.8637141,37.544994,"Дмитровское ш., 89, Москва, Россия, 127486",Москва,Москва,Москва,Дмитровское шоссе,89
218,1056466,Теле-2,"г. Москва, ул. Бутырская 2/18",,1056466_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",1 056 466," г. Москва, ул. Бутырская 2/18",55.794033,37.586855,"Бутырская ул., 2/18, Москва, Россия, 127015",Москва,Москва,Москва,Бутырская улица,2/18
219,993810,Теле-2,"г. Москва, Чертановская 20/22, ТЦ Гравитация",,993810_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",993 810," г. Москва, Чертановская 20/22, ТЦ Гравитация",55.624451,37.5938443,"Чертановская ул., 20 сооружение 3, Москва, Россия, 117525",Москва,Москва,Москва,Чертановская улица,20 сооружение 3
220,1047268,Теле-2,"г. Москва, ул. Б. Черемушкинская 1, ТЦ ""Рио""",,1047268_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 047 268," г. Москва, ул. Б. Черемушкинская 1, ТЦ ""Рио""",55.6895981,37.6021936,"Большая Черемушкинская ул., 1, Москва, Россия, 117447",Москва,Москва,Москва,Большая Черемушкинская улица,1
221,1024731,Теле-2,"г. Москва, ул. Каховка, д.29А ТЦ Прайм Плаза",,1024731_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 024 731," г. Москва, ул. Каховка, д.29А ТЦ Прайм Плаза",55.656356,37.569596,"ул. Каховка, 29А, Москва, Россия, 117461",Москва,Москва,Москва,улица Каховка,29А
222,1083914,Теле-2,"г. Москва, Багратионовский проезд д.5 ТЦ Филион -",,1083914_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 083 914," г. Москва, Багратионовский проезд д.5 ТЦ Филион -",55.744208,37.5080612,"БaГРАТИОНОВСКИЙ пр., 5, Москва, Россия, 121087",Москва,Москва,Москва,БaГРАТИОНОВСКИЙ ПРОЕЗД,5
223,1086736,Теле-2,"г. Москва, Новослободская, д. 10",,1086736_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 086 736," г. Москва, Новослободская, д. 10",55.7804842,37.6002006,"строение 3, Новослободская ул., 10, Москва, Россия, 127055",Москва,Москва,Москва,Новослободская улица,10
224,818289,Теле-2,"г. Москва, пр. Свободный, 33А",,818289_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",818 289," г. Москва, пр. Свободный, 33А",55.752195,37.8185271,"Свободный пр., 33 А строение 4, Москва, Россия, 111558",Москва,Москва,Москва,Свободный проспект,33 А строение 4
225,1111667,Теле-2,"г Москва, ул. Мира 114 стр2",,1111667_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",1 111 667," г Москва, ул. Мира 114 стр2",55.6604149,37.9111345,"ул. Мира, 114, Люберцы, Московская обл., Россия, 140006",Люберцы,Городской округ Люберцы,Московская область,улица Мира,114
226,137619,Теле-2,"г. Москва, Ходынский б-р, д. 4 ТЦ “Авиапарк”",,137619_ESL-SES,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",137 619," г. Москва, Ходынский б-р, д. 4 ТЦ “Авиапарк”",55.7902891,37.5308876,"Ходынский б-р, 4, Москва, Россия, 125167",Москва,Москва,Москва,Ходынский бульвар,4
227,954006,Теле-2,"г. Москва, пл. Киевского вокзала, д. 2, ТЦ «Европейский»",,954006_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",954 006," г. Москва, пл. Киевского вокзала, д. 2, ТЦ «Европейский»",55.7446675,37.5658937,"пл. Киевского Вокзала, 2, Москва, Россия, 121059",Москва,Москва,Москва,площадь Киевского Вокзала,2
228,104114,Теле-2,"г. Москва, Пролетарский проспект д. 30, ТЦ «Ашан»",,104114_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",104 114," г. Москва, Пролетарский проспект д. 30, ТЦ «Ашан»",55.6306337,37.6590868,"Пролетарский пр., 30, Москва, Россия, 115516",Москва,Москва,Москва,Пролетарский проспект,30
229,782295,Теле-2,"г. Москва, ул. Профсоюзная, д. 129А, ТЦ ""Принц Плаз""",,782295_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",782 295," г. Москва, ул. Профсоюзная, д. 129А, ТЦ ""Принц Плаз""",55.6187457,37.5068024,"ул. Профсоюзная, 129А, Москва, Россия, 117321",Москва,Москва,Москва,улица Профсоюзная,129А
230,774970,Теле-2,"г. Москва, ул. Фестивальная 2Б, ТРК Речной",,774970_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",774 970," г. Москва, ул. Фестивальная 2Б, ТРК Речной",55.8547688,37.47777809999999,"Фестивальная ул., 2 Б, Москва, Россия, 125565",Москва,Москва,Москва,Фестивальная улица,2 Б
231,116645,Теле-2,"г. Москва, Солнцевский пр-т, 21, ТЦ Столица",,116645_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",116 645," г. Москва, Солнцевский пр-т, 21, ТЦ Столица",55.647048,37.4116481,"Солнцевский пр., 21, Москва, Россия, 119620",Москва,Москва,Москва,Солнцевский проспект,21
232,118951,Теле-2,"г. Москва, ул Авиаторов 3А, ТЦ Небо",,118951_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",118 951," г. Москва, ул Авиаторов 3А, ТЦ Небо",55.6435348,37.3980356,"ул. Авиаторов, 3А, Москва, Россия, 119619",Москва,Москва,Москва,улица Авиаторов,3А
233,925353,Теле-2,"г. Москва, ул. 7-ая Кожуховская, д.9, ТЦ Мозайка",,925353_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",925 353," г. Москва, ул. 7-ая Кожуховская, д.9, ТЦ Мозайка",55.7105556,37.6727778,"7-я Кожуховская ул., 9, Москва, Россия, 115193",Москва,Москва,Москва,7-я Кожуховская улица,9
234,788160,Теле-2,"г. Москва, Каширское ш., д. 26",,788160_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",788 160," г. Москва, Каширское ш., д. 26",55.6536266,37.6469331,"Каширское ш., 26, Москва, Россия, 115522",Москва,Москва,Москва,Каширское шоссе,26
235,786259,Теле-2,"г. Москва, Люблинская ул, д. 169к2",,786259_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",786 259," г. Москва, Люблинская ул, д. 169к2",55.64912,37.7448082,"Люблинская ул., 169, корпус 2, Москва, Россия, 109652",Москва,Москва,Москва,Люблинская улица,"169, корпус 2"
236,124126,Теле-2,"г. Москва, ул. Дыбенко, 71 (Ховрино, 3)",,124126_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",124 126," г. Москва, ул. Дыбенко, 71 (Ховрино, 3)",55.8783205,37.4819715,"ул. Дыбенко, 71, Москва, Россия, 125475",Москва,Москва,Москва,улица Дыбенко,71
237,775853,Теле-2,"г. Москва, ул. Борисовские Пруды 26 к2_ТЦ Браво",,775853_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",775 853," г. Москва, ул. Борисовские Пруды 26 к2_ТЦ Браво",55.63901389999999,37.7590228,"ул. Борисовские Пруды, 26, к. 2, Москва, Россия, 115612",Москва,Москва,Москва,улица Борисовские Пруды,"26, к. 2"
238,122832,Теле-2,"г. Москва, Ореховый б-р, 15_ТЦ Галерея Водолей",,122832_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",122 832," г. Москва, Ореховый б-р, 15_ТЦ Галерея Водолей",55.612766,37.720069,"Ореховый б-р, 15, Москва, Россия, 115563",Москва,Москва,Москва,Ореховый бульвар,15
239,125378,Теле-2,"г. Москва, Измайловское ш.69Д_ТЦ Альбатрос",,125378_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",125 378," г. Москва, Измайловское ш.69Д_ТЦ Альбатрос",55.7885545,37.750376,"Измайловское ш., 69Г, Москва, Россия, 105187",Москва,Москва,Москва,Измайловское шоссе,69Г
240,126928,Теле-2,"г. Москва, ул. Ярцевская, д.25А ТЦ Трамплин",,126928_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",126 928," г. Москва, ул. Ярцевская, д.25А ТЦ Трамплин",55.7411123,37.4153105,"Москва, Ярцевская ул., 25а, Трамплин, Москва, Россия, 121552",Трамплин,Москва,Москва,Ярцевская улица,25а
241,126236,Теле-2,"г. Москва, Ореховый б-р, д. 22_ТЦ Облака",,126236_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",126 236," г. Москва, Ореховый б-р, д. 22_ТЦ Облака",55.612147,37.732588,"Ореховый б-р, д.22 А, Москва, Россия, 115573",Москва,Москва,Москва,Ореховый бульвар,д.22 А
242,127879,Теле-2,"г. Москва, ш. Варшавское, д.152А, ТЦ Сомбреро",,127879_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",127 879," г. Москва, ш. Варшавское, д.152А, ТЦ Сомбреро",55.59463479999999,37.5996443,"ТЦ ""Сомбреро"", Варшавское ш., 152к16с3, Москва, Россия, 117405",Москва,Москва,Москва,Варшавское шоссе,152к16с3
243,125750,Теле-2,"г. Москва, Проспект Андропова д.8 ТЦ Мегаполис",,125750_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",125 750," г. Москва, Проспект Андропова д.8 ТЦ Мегаполис",55.69609,37.665654,"Андропова пр-т, 8, Москва, Россия, 115432",Москва,Москва,Москва,проспект Андропова,8
244,126234,Теле-2,"г. Москва, ул. Красного Маяка, 2Б",,126234_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",126 234," г. Москва, ул. Красного Маяка, 2Б",55.6112522,37.6043851,"ул. Красного Маяка, 2Б, Москва, Россия, 117519",Москва,Москва,Москва,улица Красного Маяка,2Б
245,126931,Теле-2,"г. Москва, пр-кт Мира, 40, ТЦ Гарденмир",,126931_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",126 931," г. Москва, пр-кт Мира, 40, ТЦ Гарденмир",55.780227,37.6335184,"пр-т Мира, 40, Москва, Россия, 129090",Москва,Москва,Москва,проспект Мира,40
246,128990,Теле-2,г. Москва_мкрн_Северное_Чертаново_1А_ТЦ Авентура_TOS,,128990_ESL-ZKong,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",128 990, г. Москва_мкрн_Северное_Чертаново_1А_ТЦ Авентура_TOS,55.6373798,37.6004247,"Северное Чертаново ул., 1, Москва, Россия, 117648",Москва,Москва,Москва,Северное Чертаново улица,1
247,945252,Теле-2,"г. Москва, ш. Киевское, д.23-й км, 1 ТЦ Солярис",,945252_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",945 252," г. Москва, ш. Киевское, д.23-й км, 1 ТЦ Солярис",55.6215671,37.4291806,"2-я Новая улица дом 23, к, 2-я Новая ул., 23, Саларьево, Москва, Россия, 119297",Саларьево,Москва,Москва,2-я Новая улица,23
248,131359,Теле-2,"г. Москва, Большая Семёновская 20",,131359_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",131 359," г. Москва, Большая Семёновская 20",55.7820869,37.7052188,"Большая Семеновская ул., 20, Москва, Россия, 107023",Москва,Москва,Москва,Большая Семеновская улица,20
249,123441,Теле-2,"г. Москва, ул. 6-я Нововатутинская, д.2",,123441_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",123 441," г. Москва, ул. 6-я Нововатутинская, д.2",55.513225,37.35971,"ул. 6-я Нововатутинская, Москва, Россия, 142793",Москва,Москва,Москва,,
250,985575,Теле-2,"г. Москва, Аминьевское шоссе 6, ТЦ Квартал Вест",,985575_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",985 575," г. Москва, Аминьевское шоссе 6, ТЦ Квартал Вест",55.70704,37.457037,"Аминьевское ш., 6, Москва, Россия, 119530",Москва,Москва,Москва,Аминьевское шоссе,6
251,135368,Теле-2,"г. Москва, ул. Новый Арбат, 3с1",,135368_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",135 368," г. Москва, ул. Новый Арбат, 3с1",55.752662,37.598511,"Новый Арбат ул., 3 строение 1, Москва, Россия, 119019",Москва,Москва,Москва,Новый Арбат улица,3 строение 1
252,983698,Теле-2,"г. Москва, ул. Автозаводская, д. 18, ТЦ Ривьера",,983698_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",983 698," г. Москва, ул. Автозаводская, д. 18, ТЦ Ривьера",55.7050642,37.6407832,"Автозаводская ул., 18, Москва, Россия, 115280",Москва,Москва,Москва,Автозаводская улица,18
253,130077,Теле-2,"г. Москва, Павелецкая пл., д. 3 ТЦ Павелецкая плаза",,130077_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",130 077," г. Москва, Павелецкая пл., д. 3 ТЦ Павелецкая плаза",55.73113069999999,37.6398797,"Москва, Россия, 115054",Москва,Москва,Москва,,
254,132819,Теле-2,"г. Москва, Земляной Вал, 29",,132819_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",132 819," г. Москва, Земляной Вал, 29",55.75973750000001,37.6603036,"ул. Земляной Вал, 29, Москва, Россия, 105064",Москва,Москва,Москва,улица Земляной Вал,29
255,124354,Теле-2,"г. Москва, Ботанический сад ул. Леонова 18",,124354_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",124 354," г. Москва, Ботанический сад ул. Леонова 18",55.844678,37.6391156,"ул. 1-я Леонова, 18, Москва, Россия, 129226",Москва,Москва,Москва,улица 1-я Леонова,18
256,1001160,Теле-2,"Московский, Никитина 2а",,1001160_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 001 160," Московский, Никитина 2а",55.60507070000001,37.357216,"ул. Никитина, 2, Москва, Россия, 108811",Москва,Москва,Москва,улица Никитина,2
257,949098,Теле-2,Москва\_Румянцево\_Киевское шоссе\_22й км\_д.6\_стр\_1\_БЦ Comcity,,949098_ESL-ZKong,На поддержке,"Московский филиал ООО ""2 МОБАЙЛ""",949 098, Москва\_Румянцево\_Киевское шоссе\_22й км\_д.6\_стр\_1\_БЦ Comcity,55.6340252,37.4318049,"Киевское ш., 6, строение 1, Москва, Россия, 119620",Москва,Москва,Москва,Киевское шоссе,"6, строение 1"
258,782248,Теле-2,"г. Мытищи, Шараповский проезд д.2 ТЦ Красный Кит",,782248_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",782 248," г. Мытищи, Шараповский проезд д.2 ТЦ Красный Кит",55.9165696,37.7576084,"Шараповский пр-д, 2, Мытищи, Московская обл., Россия, 141006",Мытищи,Городской округ Мытищи,Московская область,Шараповский проезд,2
259,1085104,Теле-2,"г. Одинцово, Маршала Неделина, 6",,1085104_ESL-SES,Нет активной поддержки,"Московский филиал ООО ""2 МОБАЙЛ""",1 085 104," г. Одинцово, Маршала Неделина, 6",55.6785671,37.2680636,"ул. Маршала Неделина, 6, Одинцово, Московская обл., Россия, 143003",Одинцово,Одинцовский городской округ,Московская область,улица Маршала Неделина,6
